site_name,geonames_id,latitude,longitude,Rischio_Alluvione,Rischio_Terremoto,artresearch_match,match_score,match_place,documentato,documentato_realmente
tempio di Segesta,,37.941449,12.83307,Basso,Medio,"Tempio di Segesta, Calatafimi Segesta",100,Calatafimi Segesta,True,True
Tomba della Colonna,,42.676839,11.893447,Basso,Medio,,0,,False,False
ipogeo di Sant'Iroxi,,39.336111,8.920278,Basso,Basso,,0,,False,False
Tempio di Bellona,,41.752638888889,12.291583333333,Basso,Basso,,0,,False,False
Tempio di Atena Lindia e Zeus Atabyrios,,37.312904,13.578062,Basso,Basso,,0,,False,False
Tempio Dorico,,40.748279,14.488005,Basso,Medio,"Tempio Dorico, Tarent",100,Tarent,True,False
Valesio,,40.505968,18.030624,Medio,Basso,,0,,False,False
Terme Achilliane,,37.50240556,15.08740278,Elevato,Elevato,,0,,False,False
Tempio di Esculapio,,37.282546,13.589659,Basso,Basso,,0,,False,False
Sicopoli,,41.134877777778,14.261708333333,Basso,Medio,,0,,False,False
Trebula Suffenas,,41.95472222,12.93777778,Basso,Medio,,0,,False,False
terme di Fordongianus,12041376.0,39.9972641,8.80816,Elevato,Basso,,0,,False,False
Scornavacche,,37.0495,14.580333333333,Basso,Elevato,,0,,False,False
Tempio di Zeus,,37.0515,15.2576,Basso,Elevato,,0,,False,False
scavi archeologici del duomo di Napoli,,40.852796953204,14.259322014679,Basso,Elevato,,0,,False,False
Villa dei Venulei,,43.83708,10.36136,Basso,Medio,,0,,False,False
teatro romano di Teramo,,42.65789722,13.704075,Basso,Elevato,,0,,False,False
Teatro romano di Brescia,,45.539868,10.2269897,Basso,Elevato,,0,,False,False
tempio dei Dioscuri di Napoli,,40.85144,14.25683,Basso,Elevato,,0,,False,False
Tempio di Giunone Sospita,,41.88956,12.48461,Basso,Medio,,0,,False,False
Tempio di Giove Toro,,41.220501,16.065111,Basso,Elevato,,0,,False,False
Villa di Domiziano,,41.738348,12.655029,Basso,Elevato,,0,,False,False
Terme Erculee,,45.46489,9.195891,Basso,Basso,,0,,False,False
Torre Mordillo,,39.715102,16.3154111,Basso,Elevato,,0,,False,False
Tempio della Tosse,,41.96289167,12.78935833,Basso,Medio,,0,,False,False
Torraccio della Cecchina,,41.94322,12.55871,Basso,Medio,,0,,False,False
Trebula,11186441.0,41.9137,14.2829,Basso,Elevato,,0,,False,False
Sassi Ritti,,42.74693889,10.19649444,Basso,Basso,,0,,False,False
tumulo del Principe etrusco,,43.73416667,10.39111111,Elevato,Medio,,0,,False,False
Statio aquarum,,41.89150556,12.48611944,Basso,Medio,,0,,False,False
Villa Sora,,40.778191,14.374717,Basso,Elevato,,0,,False,False
Teatro greco-romano di Marina di Gioiosa Ionica,,38.3014307,16.3328588,Basso,Elevato,,0,,False,False
Tempio di Demetra,,37.299272,13.603352,Basso,Basso,,0,,False,False
Terme della Rotonda,,37.50405556,15.08275,Basso,Elevato,,0,,False,False
sepolcro di Priscilla,,41.8665,12.5031,Basso,Medio,,0,,False,False
Sorabile,,40.1294,9.260164,Basso,Basso,,0,,False,False
Tempio della Vittoria,,37.9739,13.8239,Basso,Elevato,,0,,False,False
Tempio di Iside,,37.298333333333,13.588888888889,Basso,Basso,,0,,False,False
