site_uri,site_name,latitude,longitude,geonames_id
http://www.wikidata.org/entity/Q3983196,Tempio dei Dioscuri,37.291358,13.581378,
http://www.wikidata.org/entity/Q4012726,Villa di Domiziano,41.26845,13.03933,
http://www.wikidata.org/entity/Q3984380,Terme Eleniane,41.88922222,12.51466111,
http://www.wikidata.org/entity/Q3955644,sepolcro dei Sempronii,41.89979444,12.48545,
http://www.wikidata.org/entity/Q3950804,Satrianum,40.567002971369,15.639582668924,
http://www.wikidata.org/entity/Q3982367,teatro romano di Locri,38.21618056,16.22863611,
http://www.wikidata.org/entity/Q3984413,terme romane di Fondi,41.35739,13.42925,
http://www.wikidata.org/entity/Q3983285,Tempio di Venere Ericina,41.90997778,12.49650556,
http://www.wikidata.org/entity/Q4009948,Vereto,39.838614,18.3270192,
http://www.wikidata.org/entity/Q3974278,Silvium,40.8196,16.3998,
http://www.wikidata.org/entity/Q3982371,teatro romano di Torino,45.07397222,7.68551389,11127301
http://www.wikidata.org/entity/Q3983250,Tempio di Giove,42.4109,11.28654444,
http://www.wikidata.org/entity/Q3983226,Tempio di Atena,37.0596,15.2937,
http://www.wikidata.org/entity/Q3951763,Scavi archeologici di Palazzo Martinengo Cesaresco Novarino,45.539258,10.22545,
http://www.wikidata.org/entity/Q3982368,Teatro romano di Milano,45.46527778,9.18277778,
http://www.wikidata.org/entity/Q3982091,Teatro Piccolo di Pompei,40.748854,14.488987,
http://www.wikidata.org/entity/Q3983188,Tempio L,37.291025,13.581416,
http://www.wikidata.org/entity/Q3983297,Tempio italico,42.102117,13.755884,11839530
http://www.wikidata.org/entity/Q3983254,Tempio di Giove Appennino,43.417222222222,12.656111111111,
http://www.wikidata.org/entity/Q3992631,Tombe preistoriche dell'Arco di Augusto,41.89194444,12.48611111,
http://www.wikidata.org/entity/Q3983186,Tempio F,37.5873,12.8349,
http://www.wikidata.org/entity/Q3983252,Tempio di Giove Anxur,41.291639,13.259863,
http://www.wikidata.org/entity/Q3983270,Tempio di Iside,43.769375,11.25808333,
http://www.wikidata.org/entity/Q3983280,tempio di Segesta,37.941449,12.83307,
http://www.wikidata.org/entity/Q3992607,Tomba della Colonna,42.676839,11.893447,
http://www.wikidata.org/entity/Q3992603,ipogeo di Sant'Iroxi,39.336111,8.920278,
http://www.wikidata.org/entity/Q3983235,Tempio di Bellona,41.752638888889,12.291583333333,
http://www.wikidata.org/entity/Q3983227,Tempio di Atena Lindia e Zeus Atabyrios,37.312904,13.578062,
http://www.wikidata.org/entity/Q3983179,Tempio Dorico,40.748279,14.488005,
http://www.wikidata.org/entity/Q4007937,Valesio,40.505968,18.030624,
http://www.wikidata.org/entity/Q3984379,Terme Achilliane,37.50240556,15.08740278,
http://www.wikidata.org/entity/Q3983245,Tempio di Esculapio,37.282546,13.589659,
http://www.wikidata.org/entity/Q3960095,Sicopoli,41.134877777778,14.261708333333,
http://www.wikidata.org/entity/Q3998196,Trebula Suffenas,41.95472222,12.93777778,
http://www.wikidata.org/entity/Q3984400,terme di Fordongianus,39.9972641,8.80816,12041376
http://www.wikidata.org/entity/Q3952753,Scornavacche,37.0495,14.580333333333,
http://www.wikidata.org/entity/Q3983290,Tempio di Zeus,37.0515,15.2576,
http://www.wikidata.org/entity/Q3951760,scavi archeologici del duomo di Napoli,40.852796953204,14.259322014679,
http://www.wikidata.org/entity/Q3984401,Villa dei Venulei,43.83708,10.36136,
http://www.wikidata.org/entity/Q3982372,teatro romano di Teramo,42.65789722,13.704075,
http://www.wikidata.org/entity/Q3982365,Teatro romano di Brescia,45.539868,10.2269897,
http://www.wikidata.org/entity/Q3983199,tempio dei Dioscuri di Napoli,40.85144,14.25683,
http://www.wikidata.org/entity/Q3983268,Tempio di Giunone Sospita,41.88956,12.48461,
http://www.wikidata.org/entity/Q3983260,Tempio di Giove Toro,41.220501,16.065111,
http://www.wikidata.org/entity/Q4012729,Villa di Domiziano,41.738348,12.655029,
http://www.wikidata.org/entity/Q3984381,Terme Erculee,45.46489,9.195891,
http://www.wikidata.org/entity/Q3995227,Torre Mordillo,39.715102,16.3154111,
http://www.wikidata.org/entity/Q3983216,Tempio della Tosse,41.96289167,12.78935833,
http://www.wikidata.org/entity/Q3995103,Torraccio della Cecchina,41.94322,12.55871,
http://www.wikidata.org/entity/Q3998193,Trebula,41.9137,14.2829,11186441
http://www.wikidata.org/entity/Q3950680,Sassi Ritti,42.74693889,10.19649444,
http://www.wikidata.org/entity/Q4000423,tumulo del Principe etrusco,43.73416667,10.39111111,
http://www.wikidata.org/entity/Q3968556,Statio aquarum,41.89150556,12.48611944,
http://www.wikidata.org/entity/Q4012551,Villa Sora,40.778191,14.374717,
http://www.wikidata.org/entity/Q3982350,Teatro greco-romano di Marina di Gioiosa Ionica,38.3014307,16.3328588,
http://www.wikidata.org/entity/Q3983236,Tempio di Demetra,37.299272,13.603352,
http://www.wikidata.org/entity/Q3984392,Terme della Rotonda,37.50405556,15.08275,
http://www.wikidata.org/entity/Q3955654,sepolcro di Priscilla,41.8665,12.5031,
http://www.wikidata.org/entity/Q3965012,Sorabile,40.1294,9.260164,
http://www.wikidata.org/entity/Q3983217,Tempio della Vittoria,37.9739,13.8239,
